month,year,negativity,neutrality,positivity,sentiment,freq_words,std_sentiment,freq_word_list
1,2021,0.2606112298,0.4061544654,0.3332343048,0.0726230749,"[['get', 10477], ['people', 9291], ['vaccine', 8211], ['like', 6836], ['i’m', 5938], ['got', 5740], ['it’s', 5399], ['new', 5248], ['one', 5038], ['still', 4325], ['don’t', 4047], ['go', 3959], ['would', 3919], ['us', 3845], ['know', 3795], ['back', 3668], ['first', 3662], ['-', 3660], ['going', 3644], ['getting', 3583]]",,"[{'text': 'get', 'size': 10477}, {'text': 'people', 'size': 9291}, {'text': 'vaccine', 'size': 8211}, {'text': 'like', 'size': 6836}, {'text': 'i’m', 'size': 5938}, {'text': 'got', 'size': 5740}, {'text': 'it’s', 'size': 5399}, {'text': 'new', 'size': 5248}, {'text': 'one', 'size': 5038}, {'text': 'still', 'size': 4325}, {'text': 'don’t', 'size': 4047}, {'text': 'go', 'size': 3959}, {'text': 'would', 'size': 3919}, {'text': 'us', 'size': 3845}, {'text': 'know', 'size': 3795}, {'text': 'back', 'size': 3668}, {'text': 'first', 'size': 3662}, {'text': '-', 'size': 3660}, {'text': 'going', 'size': 3644}, {'text': 'getting', 'size': 3583}]"
2,2020,0.2450084602,0.4521150592,0.3028764805,0.0578680203,"[['people', 239], ['#coronavirus', 220], ['covid-19.', 199], ['virus', 192], ['us', 186], ['cases', 179], ['trump', 175], ['-', 173], ['get', 162], ['via', 157], ['health', 152], ['like', 144], ['#covid19', 133], ['china', 131], ['flu', 122], ['new', 120], ['19', 119], ['spread', 119], ['#covid', 115], ['it’s', 113]]",,"[{'text': 'people', 'size': 239}, {'text': '#coronavirus', 'size': 220}, {'text': 'covid-19.', 'size': 199}, {'text': 'virus', 'size': 192}, {'text': 'us', 'size': 186}, {'text': 'cases', 'size': 179}, {'text': 'trump', 'size': 175}, {'text': '-', 'size': 173}, {'text': 'get', 'size': 162}, {'text': 'via', 'size': 157}, {'text': 'health', 'size': 152}, {'text': 'like', 'size': 144}, {'text': '#covid19', 'size': 133}, {'text': 'china', 'size': 131}, {'text': 'flu', 'size': 122}, {'text': 'new', 'size': 120}, {'text': '19', 'size': 119}, {'text': 'spread', 'size': 119}, {'text': '#covid', 'size': 115}, {'text': 'it’s', 'size': 113}]"
2,2021,0.2605354313,0.4021905283,0.33727404040000003,0.07673860910000001,"[['get', 7169], ['vaccine', 6115], ['people', 5887], ['like', 4625], ['got', 3996], ['i’m', 3746], ['it’s', 3651], ['one', 3573], ['still', 3045], ['new', 2952], ['would', 2719], ['go', 2718], ['us', 2681], ['know', 2642], ['first', 2631], ['going', 2627], ['don’t', 2586], ['need', 2547], ['back', 2516], ['time', 2465]]",,"[{'text': 'get', 'size': 7169}, {'text': 'vaccine', 'size': 6115}, {'text': 'people', 'size': 5887}, {'text': 'like', 'size': 4625}, {'text': 'got', 'size': 3996}, {'text': 'i’m', 'size': 3746}, {'text': 'it’s', 'size': 3651}, {'text': 'one', 'size': 3573}, {'text': 'still', 'size': 3045}, {'text': 'new', 'size': 2952}, {'text': 'would', 'size': 2719}, {'text': 'go', 'size': 2718}, {'text': 'us', 'size': 2681}, {'text': 'know', 'size': 2642}, {'text': 'first', 'size': 2631}, {'text': 'going', 'size': 2627}, {'text': 'don’t', 'size': 2586}, {'text': 'need', 'size': 2547}, {'text': 'back', 'size': 2516}, {'text': 'time', 'size': 2465}]"
3,2020,0.2683206866,0.41778497740000003,0.313894336,0.0455736494,"[['covid-19.', 12767], ['people', 12289], ['#coronavirus', 11621], ['get', 10604], ['like', 8529], ['-', 8503], ['us', 8043], ['new', 7459], ['#covid19', 7285], ['it’s', 7102], ['due', 7059], ['#covid', 6952], ['i’m', 6848], ['please', 6794], ['one', 6747], ['need', 6670], ['health', 6427], ['via', 6188], ['19', 6081], ['know', 6046]]",,"[{'text': 'covid-19.', 'size': 12767}, {'text': 'people', 'size': 12289}, {'text': '#coronavirus', 'size': 11621}, {'text': 'get', 'size': 10604}, {'text': 'like', 'size': 8529}, {'text': '-', 'size': 8503}, {'text': 'us', 'size': 8043}, {'text': 'new', 'size': 7459}, {'text': '#covid19', 'size': 7285}, {'text': 'it’s', 'size': 7102}, {'text': 'due', 'size': 7059}, {'text': '#covid', 'size': 6952}, {'text': 'i’m', 'size': 6848}, {'text': 'please', 'size': 6794}, {'text': 'one', 'size': 6747}, {'text': 'need', 'size': 6670}, {'text': 'health', 'size': 6427}, {'text': 'via', 'size': 6188}, {'text': '19', 'size': 6081}, {'text': 'know', 'size': 6046}]"
3,2021,0.2638577379,0.4022132946,0.3339289675,0.0700712296,"[['get', 8994], ['vaccine', 8763], ['people', 6752], ['got', 5281], ['like', 5123], ['one', 4822], ['it’s', 4195], ['year', 4141], ['i’m', 4113], ['first', 4070], ['still', 3609], ['getting', 3411], ['relief', 3185], ['would', 3005], ['don’t', 2981], ['last', 2976], ['-', 2966], ['new', 2940], ['us', 2934], ['know', 2824]]",,"[{'text': 'get', 'size': 8994}, {'text': 'vaccine', 'size': 8763}, {'text': 'people', 'size': 6752}, {'text': 'got', 'size': 5281}, {'text': 'like', 'size': 5123}, {'text': 'one', 'size': 4822}, {'text': 'it’s', 'size': 4195}, {'text': 'year', 'size': 4141}, {'text': 'i’m', 'size': 4113}, {'text': 'first', 'size': 4070}, {'text': 'still', 'size': 3609}, {'text': 'getting', 'size': 3411}, {'text': 'relief', 'size': 3185}, {'text': 'would', 'size': 3005}, {'text': 'don’t', 'size': 2981}, {'text': 'last', 'size': 2976}, {'text': '-', 'size': 2966}, {'text': 'new', 'size': 2940}, {'text': 'us', 'size': 2934}, {'text': 'know', 'size': 2824}]"
4,2020,0.2749286002,0.4017135949,0.3233578049,0.0484292047,"[['people', 12902], ['covid-19.', 11029], ['get', 10255], ['#covid', 9951], ['new', 8941], ['like', 8740], ['us', 8113], ['-', 7816], ['one', 7633], ['#covid19', 7377], ['19', 6980], ['via', 6776], ['i’m', 6701], ['it’s', 6688], ['.', 6643], ['de', 6419], ['trump', 6278], ['need', 6240], ['#coronavirus', 6109], ['help', 5793]]",,"[{'text': 'people', 'size': 12902}, {'text': 'covid-19.', 'size': 11029}, {'text': 'get', 'size': 10255}, {'text': '#covid', 'size': 9951}, {'text': 'new', 'size': 8941}, {'text': 'like', 'size': 8740}, {'text': 'us', 'size': 8113}, {'text': '-', 'size': 7816}, {'text': 'one', 'size': 7633}, {'text': '#covid19', 'size': 7377}, {'text': '19', 'size': 6980}, {'text': 'via', 'size': 6776}, {'text': 'i’m', 'size': 6701}, {'text': 'it’s', 'size': 6688}, {'text': '.', 'size': 6643}, {'text': 'de', 'size': 6419}, {'text': 'trump', 'size': 6278}, {'text': 'need', 'size': 6240}, {'text': '#coronavirus', 'size': 6109}, {'text': 'help', 'size': 5793}]"
4,2021,0.251616636,0.4121741202,0.3362092438,0.0845926077,"[['vaccine', 7177], ['get', 6802], ['people', 4955], ['got', 4456], ['like', 3832], ['i’m', 3096], ['one', 3069], ['it’s', 3012], ['de', 2862], ['getting', 2797], ['still', 2759], ['first', 2711], ['shot', 2612], ['new', 2360], ['-', 2295], ['year', 2164], ['don’t', 2130], ['last', 2094], ['know', 2047], ['would', 2041]]",,"[{'text': 'vaccine', 'size': 7177}, {'text': 'get', 'size': 6802}, {'text': 'people', 'size': 4955}, {'text': 'got', 'size': 4456}, {'text': 'like', 'size': 3832}, {'text': 'i’m', 'size': 3096}, {'text': 'one', 'size': 3069}, {'text': 'it’s', 'size': 3012}, {'text': 'de', 'size': 2862}, {'text': 'getting', 'size': 2797}, {'text': 'still', 'size': 2759}, {'text': 'first', 'size': 2711}, {'text': 'shot', 'size': 2612}, {'text': 'new', 'size': 2360}, {'text': '-', 'size': 2295}, {'text': 'year', 'size': 2164}, {'text': 'don’t', 'size': 2130}, {'text': 'last', 'size': 2094}, {'text': 'know', 'size': 2047}, {'text': 'would', 'size': 2041}]"
5,2020,0.27334226710000004,0.3983079581,0.3283497748,0.055007507600000005,"[['people', 10206], ['get', 7857], ['like', 6997], ['new', 6776], ['covid-19.', 6495], ['one', 5666], ['us', 5571], ['it’s', 5558], ['#covid', 5407], ['19', 5191], ['-', 5171], ['i’m', 4947], ['de', 4834], ['would', 4692], ['trump', 4634], ['via', 4225], ['due', 4215], ['#covid19', 4207], ['deaths', 4199], ['know', 4166]]",,"[{'text': 'people', 'size': 10206}, {'text': 'get', 'size': 7857}, {'text': 'like', 'size': 6997}, {'text': 'new', 'size': 6776}, {'text': 'covid-19.', 'size': 6495}, {'text': 'one', 'size': 5666}, {'text': 'us', 'size': 5571}, {'text': 'it’s', 'size': 5558}, {'text': '#covid', 'size': 5407}, {'text': '19', 'size': 5191}, {'text': '-', 'size': 5171}, {'text': 'i’m', 'size': 4947}, {'text': 'de', 'size': 4834}, {'text': 'would', 'size': 4692}, {'text': 'trump', 'size': 4634}, {'text': 'via', 'size': 4225}, {'text': 'due', 'size': 4215}, {'text': '#covid19', 'size': 4207}, {'text': 'deaths', 'size': 4199}, {'text': 'know', 'size': 4166}]"
5,2021,0.25439164400000003,0.40448444040000003,0.3411239156,0.08673227160000001,"[['vaccine', 5194], ['get', 5109], ['people', 4270], ['new', 3131], ['like', 2946], ['got', 2690], ['still', 2508], ['it’s', 2434], ['one', 2230], ['i’m', 2182], ['make', 2134], ['vaccinated', 1951], ['getting', 1897], ['year', 1882], ['de', 1809], ['last', 1791], ['us', 1743], ['back', 1718], ['first', 1683], ['-', 1655]]",,"[{'text': 'vaccine', 'size': 5194}, {'text': 'get', 'size': 5109}, {'text': 'people', 'size': 4270}, {'text': 'new', 'size': 3131}, {'text': 'like', 'size': 2946}, {'text': 'got', 'size': 2690}, {'text': 'still', 'size': 2508}, {'text': 'it’s', 'size': 2434}, {'text': 'one', 'size': 2230}, {'text': 'i’m', 'size': 2182}, {'text': 'make', 'size': 2134}, {'text': 'vaccinated', 'size': 1951}, {'text': 'getting', 'size': 1897}, {'text': 'year', 'size': 1882}, {'text': 'de', 'size': 1809}, {'text': 'last', 'size': 1791}, {'text': 'us', 'size': 1743}, {'text': 'back', 'size': 1718}, {'text': 'first', 'size': 1683}, {'text': '-', 'size': 1655}]"
6,2020,0.2686319056,0.3845883896,0.34677970480000003,0.0781477993,"[['people', 10875], ['get', 8705], ['like', 6999], ['cases', 6381], ['it’s', 6143], ['new', 5859], ['i’m', 5185], ['one', 5162], ['still', 5104], ['covid-19.', 4923], ['trump', 4911], ['going', 4890], ['us', 4714], ['don’t', 4679], ['go', 4361], ['back', 4298], ['due', 4255], ['know', 4227], ['-', 4120], ['would', 4024]]",,"[{'text': 'people', 'size': 10875}, {'text': 'get', 'size': 8705}, {'text': 'like', 'size': 6999}, {'text': 'cases', 'size': 6381}, {'text': 'it’s', 'size': 6143}, {'text': 'new', 'size': 5859}, {'text': 'i’m', 'size': 5185}, {'text': 'one', 'size': 5162}, {'text': 'still', 'size': 5104}, {'text': 'covid-19.', 'size': 4923}, {'text': 'trump', 'size': 4911}, {'text': 'going', 'size': 4890}, {'text': 'us', 'size': 4714}, {'text': 'don’t', 'size': 4679}, {'text': 'go', 'size': 4361}, {'text': 'back', 'size': 4298}, {'text': 'due', 'size': 4255}, {'text': 'know', 'size': 4227}, {'text': '-', 'size': 4120}, {'text': 'would', 'size': 4024}]"
